status,crn,type,section, tme,day, location,instructor
-------------------------------------------------------------------------------------
Course  : Description
-------------------------------------------------------------------------------------
CS 100  : Freshman Orientation
 section restricted 30094 Lecture AL1 04:00PM - 04:50PM W       100 Noyes Laboratory Pitt, L
-------------------------------------------------------------------------------------
CS 101  : Intro Computing: Engrg & Sci
 section restricted 35879 Lecture AL1 09:00AM - 09:50AM MW      AUD Foellinger Auditorium Davis, N
 1. section open 35886 Laboratory-Discussion AYA 11:00AM - 12:50PM M       L520 Digital Computer Laboratory Davis, N
 1. section open 35889 Laboratory-Discussion AYB 01:00PM - 02:50PM M       L520 Digital Computer Laboratory Davis, N
 1. section open 35890 Laboratory-Discussion AYC 03:00PM - 04:50PM M       L520 Digital Computer Laboratory Davis, N
 1. section open 35893 Laboratory-Discussion AYD 09:00AM - 10:50AM T       L520 Digital Computer Laboratory Davis, N
 1. section open 61077 Laboratory-Discussion AYE 11:00AM - 12:50PM T       L520 Digital Computer Laboratory Davis, N
 1. section open 35915 Laboratory-Discussion AYF 01:00PM - 02:50PM T       L520 Digital Computer Laboratory Davis, N
 1. section open 35896 Laboratory-Discussion AYG 03:00PM - 04:50PM T       L520 Digital Computer Laboratory Davis, N
 1. section open 35899 Laboratory-Discussion AYH 11:00AM - 12:50PM W       L520 Digital Computer Laboratory Davis, N
 1. section open 35902 Laboratory-Discussion AYI 01:00PM - 02:50PM W       L520 Digital Computer Laboratory Davis, N
 1. section open 35907 Laboratory-Discussion AYJ 03:00PM - 04:50PM W       L520 Digital Computer Laboratory Davis, N
 1. section open 35918 Laboratory-Discussion AYK 09:00AM - 10:50AM R       L520 Digital Computer Laboratory Davis, N
 1. section open 61078 Laboratory-Discussion AYL 11:00AM - 12:50PM R       L520 Digital Computer Laboratory Davis, N
 1. section open 35910 Laboratory-Discussion AYM 01:00PM - 02:50PM R       L520 Digital Computer Laboratory Davis, N
 1. section open 35913 Laboratory-Discussion AYN 03:00PM - 04:50PM R       L520 Digital Computer Laboratory Davis, N
 1. section open 62682 Laboratory-Discussion AYO 09:00AM - 10:50AM F       L520 Digital Computer Laboratory Davis, N
 1. section open 62683 Laboratory-Discussion AYP 11:00AM - 12:50PM F       L520 Digital Computer Laboratory Davis, N
 1. section open 62913 Laboratory-Discussion AYQ 01:00PM - 02:50PM F       L520 Digital Computer Laboratory Davis, N
 1. section open 62914 Laboratory-Discussion AYR 03:00PM - 04:50PM F       L520 Digital Computer Laboratory Davis, N
-------------------------------------------------------------------------------------
CS 105  : Intro Computing: Non-Tech
 1. section open 35823 Lecture AL1 11:00AM - 11:50AM MW      AUD Foellinger Auditorium Hellwig, M
 section closed 47174 Laboratory-Discussion AYA 12:30PM - 01:50PM M       101 901 W Oregon Hellwig, M
 1. section open 35827 Laboratory-Discussion AYB 02:00PM - 03:20PM M       101 901 W Oregon Hellwig, M
 1. section open 35828 Laboratory-Discussion AYC 03:30PM - 04:50PM M       101 901 W Oregon Hellwig, M
 1. section open 35847 Laboratory-Discussion AYD 05:00PM - 06:20PM M       101 901 W Oregon Hellwig, M
 section Pending 35831 Laboratory-Discussion AYE 06:30PM - 07:50PM M       101 901 W Oregon Hellwig, M
 section closed 35833 Laboratory-Discussion AYG 12:30PM - 01:50PM T       101 901 W Oregon Hellwig, M
 section closed 35835 Laboratory-Discussion AYH 02:00PM - 03:20PM T       101 901 W Oregon Hellwig, M
 1. section open 35836 Laboratory-Discussion AYI 03:30PM - 04:50PM T       101 901 W Oregon Hellwig, M
 1. section open 35837 Laboratory-Discussion AYJ 05:00PM - 06:20PM T       101 901 W Oregon Hellwig, M
